year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_rpg,ncaa_apg,ncaa_fg_pct,ncaa_3p_pct,ncaa_3pa_pg,ncaa_ft_pct,ncaa_ts_pct,ncaa_usg_pct,ncaa_ast_pct,ncaa_tov_pct,ncaa_stl_pct,ncaa_blk_pct,ncaa_obpm,ncaa_bpm,ncaa_source
2001,24,Raül López,UTA,,21.2,73.0,170.0,,,113.0,2135.0,2.1,0.047,-2.4,-0.2,0,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2001,25,Gerald Wallace,SAC,Alabama,18.93,79.0,215.0,,,832.0,24731.0,59.7,0.116,1.8,23.5,1,ht/wt from BBR listed (not combine barefoot),36,22.9,9.8,6.0,1.5,0.438,0.175,1.8,0.568,0.485,,,19.2,,,,,sports-reference
2001,26,Samuel Dalembert,PHI,Seton Hall,20.13,83.0,255.0,,,886.0,21646.0,51.3,0.114,-1.1,4.6,0,ht/wt from BBR listed (not combine barefoot),29,21.4,8.3,5.7,0.3,0.565,,0.0,0.556,0.568,,,20.7,,,,,sports-reference
2001,27,Jamaal Tinsley,MEM,Iowa State,23.33,72.75,199.0,79.5,97.5,547.0,14443.0,17.2,0.057,0.0,7.1,0,,31,32.2,14.3,3.8,6.0,0.399,0.381,3.1,0.692,0.508,,,21.2,,,,,sports-reference
2001,28,Tony Parker,SAS,,19.11,74.0,185.0,,,1254.0,38279.0,111.3,0.14,1.1,30.1,1,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2001,30,Trenton Hassell,CHI,Austin Peay State University,22.32,76.25,205.0,80.0,99.5,644.0,16278.0,13.8,0.041,-2.9,-3.7,0,,,,,,,,,,,,,,,,,,,
2001,31,Gilbert Arenas,GSW,Arizona,19.47,74.25,199.0,81.5,99.5,552.0,19351.0,51.3,0.127,2.6,22.3,1,,,,,,,,,,,,,,,,,,,
2001,32,Omar Cook,ORL,St. John's,19.41,71.5,189.0,77.5,92.0,22.0,213.0,-0.1,-0.021,-2.7,0.0,0,,,,,,,,,,,,,,,,,,,
2001,33,Will Solomon,MEM,Clemson,22.94,71.75,172.0,81.5,99.5,115.0,1584.0,0.0,0.0,-3.3,-0.5,0,,,,,,,,,,,,,,,,,,,
2001,34,Terence Morris,ATL,Maryland,22.46,81.0,221.0,,,139.0,1934.0,1.0,0.025,-2.8,-0.4,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2001,35,Brian Scalabrine,NJN,USC,23.28,80.75,241.0,81.75,105.5,520.0,6772.0,7.6,0.054,-2.7,-1.2,0,,,,,,,,,,,,,,,,,,,
2001,36,Jeff Trepagnier,CLE,USC,21.96,76.0,200.0,,,31.0,270.0,-0.2,-0.038,-2.8,-0.1,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2001,37,Damone Brown,PHI,Syracuse,22.0,80.25,202.0,83.75,104.5,39.0,351.0,-0.7,-0.1,-8.6,-0.6,0,,,,,,,,,,,,,,,,,,,
2001,38,Mehmet Okur,DET,,22.09,83.0,249.0,,,634.0,18429.0,54.7,0.142,1.1,14.5,1,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2001,39,Michael Wright,NYK,Arizona,,79.0,247.0,83.5,106.5,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,40,Earl Watson,SEA,UCLA,22.04,72.0,184.0,78.75,97.0,878.0,19494.0,19.2,0.047,-1.4,2.8,0,,,,,,,,,,,,,,,,,,,
2001,41,Jamison Brewer,IND,Auburn,20.6,74.5,178.0,80.75,102.5,54.0,468.0,0.0,-0.001,-2.4,0.0,0,,,,,,,,,,,,,,,,,,,
2001,42,Bobby Simmons,SEA,DePaul,21.07,78.25,235.0,84.25,105.0,466.0,11513.0,20.1,0.084,-0.7,3.6,0,,,,,,,,,,,,,,,,,,,
2001,43,Eric Chenowith,NYK,Kansas,,85.0,264.0,88.0,111.0,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,44,Kyle Hill,DAL,Eastern Illinois University,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,45,Sean Lampley,CHI,California,21.82,77.5,213.0,81.25,101.0,45.0,550.0,1.1,0.096,-1.7,0.0,0,,,,,,,,,,,,,,,,,,,
2001,46,Loren Woods,MIN,Arizona,23.02,84.75,246.0,89.5,113.0,215.0,2428.0,3.1,0.062,-2.5,-0.3,0,,,,,,,,,,,,,,,,,,,
2001,47,Ousmane Cisse,DEN,,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,48,Antonis Fotsis,MEM,,20.24,81.25,219.0,80.5,106.0,28.0,320.0,0.1,0.017,-3.4,-0.1,0,combine matched year-1,,,,,,,,,,,,,,,,,,
2001,49,Ken Johnson,MIA,Ohio State,23.4,82.75,227.0,88.0,109.5,16.0,156.0,0.0,-0.002,-6.8,-0.2,0,,,,,,,,,,,,,,,,,,,
2001,50,Ruben Boumtje-Boumtje,POR,Georgetown,23.1,83.5,245.0,88.0,111.0,44.0,276.0,0.2,0.027,-5.4,-0.2,0,,,,,,,,,,,,,,,,,,,
2001,51,Alton Ford,PHO,Houston,20.08,80.25,271.0,82.5,102.5,73.0,524.0,0.8,0.074,-6.4,-0.6,0,,,,,,,,,,,,,,,,,,,
2001,52,Andre Hutson,MIL,Michigan State,,80.25,244.0,83.75,105.5,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,53,Jarron Collins,UTA,Stanford,22.57,81.25,252.0,87.0,104.0,542.0,8542.0,15.7,0.088,-3.1,-2.5,0,,,,,,,,,,,,,,,,,,,
2001,54,Kenny Satterfield,DAL,Cincinnati,20.21,73.0,176.0,76.5,98.0,75.0,1062.0,-1.1,-0.051,-4.1,-0.6,0,,,,,,,,,,,,,,,,,,,
2001,55,Maurice Jeffers,SAC,Saint Louis,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,56,Robertas Javtokas,SAS,,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,57,Alvin Jones,PHI,Georgia Tech,22.8,83.0,265.0,,,23.0,126.0,0.1,0.034,-8.7,-0.2,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2001,58,Bryan Bracey,SAS,Oregon,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2002,1,Yao Ming,HOU,,21.79,90.0,310.0,,,486.0,15818.0,65.9,0.2,3.2,20.7,1,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2002,2,Jay Williams,CHI,Duke,20.79,72.25,197.0,75.5,97.0,75.0,1961.0,0.8,0.02,-2.0,0.0,0,,35,33.6,21.3,3.5,5.3,0.457,0.383,8.1,0.676,0.58,,,16.9,,,,,sports-reference
2002,3,Mike Dunleavy,GSW,Duke,21.78,80.0,230.0,81.0,106.0,986.0,27340.0,58.5,0.103,0.3,15.7,0,,35,32.4,17.3,7.2,2.1,0.483,0.378,6.7,0.681,0.596,,,10.7,,,,,sports-reference
