year,pick,team,player,slug,college,yrs,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp
2015,6,SAC,Willie Cauley-Stein,caulewi01,Kentucky,7,422,9276,23.3,.121,-0.1,4.4
2015,7,DEN,Emmanuel Mudiay,mudiaem01,,6,302,7187,-0.2,-.001,-3.2,-2.2
2015,8,DET,Stanley Johnson,johnsst04,Arizona,8,449,8879,6.9,.037,-2.7,-1.6
2015,9,CHO,Frank Kaminsky,kaminfr01,Wisconsin,8,413,8160,15.9,.094,-0.2,3.7
2015,10,MIA,Justise Winslow,winslju01,Duke,8,344,8906,8.2,.044,-2.1,-0.3
2015,11,IND,Myles Turner,turnemy01,Texas,11,713,20366,51.7,.122,0.6,13.5
2015,12,UTA,Trey Lyles,lylestr01,Kentucky,10,650,11970,22.0,.088,-1.0,3.0
2015,13,PHO,Devin Booker,bookede01,Kentucky,11,737,25295,58.0,.110,1.2,20.2
2015,14,OKC,Cameron Payne,payneca01,Murray State,11,499,8730,14.8,.081,-0.6,3.2
2015,15,ATL,Kelly Oubre Jr.,oubreke01,Kansas,11,705,19316,27.6,.068,-1.8,0.8
