norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board
seth trimble,Seth Trimble,3,74.33333333333333,80.0,10.208928554075703,60,83,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,83.0,80.0,,60.0,,,,
melvin council,Melvin Council Jr.,3,76.0,82.0,17.663521732655695,52,94,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,94.0,82.0,,52.0,,,,
noam yaacov,Noam Yaacov,1,76.0,76.0,0.0,76,76,Rookie Scale consensus,,76.0,,,,,,,
fletcher loyer,Fletcher Loyer,3,76.66666666666667,88.0,22.691163233490013,45,97,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,88.0,97.0,,45.0,,,,
mark mitchell,Mark Mitchell,3,77.0,72.0,7.788880963698615,71,88,CBS prospect rankings;Rookie Scale consensus;Tankathon,71.0,72.0,88.0,,,,,,
graham ike,Graham Ike,2,78.0,78.0,1.0,77,79,CBS prospect rankings;Rookie Scale consensus,,79.0,77.0,,,,,,
jaxon kohler,Jaxon Kohler,3,81.0,86.0,12.355835328567093,64,93,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,93.0,86.0,,64.0,,,,
chris bell,Chris Bell,1,81.0,81.0,0.0,81,81,CBS prospect rankings,,,81.0,,,,,,
elijah mahi,Elijah Mahi,2,82.0,82.0,3.0,79,85,CBS prospect rankings;Rookie Scale consensus,,85.0,79.0,,,,,,
ernest udeh,Ernest Udeh Jr.,2,85.5,85.5,9.5,76,95,CBS prospect rankings;Rookie Scale consensus,,95.0,76.0,,,,,,
oscar cluff,Oscar Cluff,2,86.0,86.0,6.0,80,92,CBS prospect rankings;Rookie Scale consensus,,80.0,92.0,,,,,,
vsevolod ishchenko,Vsevolod Ishchenko,1,86.0,86.0,0.0,86,86,Rookie Scale consensus,,86.0,,,,,,,
xaivian lee,Xaivian Lee,2,88.0,88.0,10.0,78,98,CBS prospect rankings;Rookie Scale consensus,,78.0,98.0,,,,,,
josh dix,Josh Dix,2,88.5,88.5,1.5,87,90,CBS prospect rankings;Rookie Scale consensus,,90.0,87.0,,,,,,
tre donaldson,Tre Donaldson,1,89.0,89.0,0.0,89,89,CBS prospect rankings,,,89.0,,,,,,
donovan atwell,Donovan Atwell,2,91.0,91.0,1.0,90,92,CBS prospect rankings;Rookie Scale consensus,,92.0,90.0,,,,,,
william kyle,William Kyle III,2,91.0,91.0,4.0,87,95,CBS prospect rankings;Rookie Scale consensus,,87.0,95.0,,,,,,
ben humrichous,Ben Humrichous,1,91.0,91.0,0.0,91,91,CBS prospect rankings,,,91.0,,,,,,
jalen washington,Jalen Washington,1,91.0,91.0,0.0,91,91,Rookie Scale consensus,,91.0,,,,,,,
lajae jones,Lajae Jones,2,92.0,92.0,8.0,84,100,CBS prospect rankings;Rookie Scale consensus,,100.0,84.0,,,,,,
tre white,Tre White,2,92.5,92.5,3.5,89,96,CBS prospect rankings;Rookie Scale consensus,,89.0,96.0,,,,,,
chase ross,Chase Ross,1,93.0,93.0,0.0,93,93,CBS prospect rankings,,,93.0,,,,,,
kowacie reeves,Kowacie Reeves Jr.,1,97.0,97.0,0.0,97,97,Rookie Scale consensus,,97.0,,,,,,,
isaac mckneely,Isaac McKneely,2,98.0,98.0,2.0,96,100,CBS prospect rankings;Rookie Scale consensus,,96.0,100.0,,,,,,
tre carroll,Tre Carroll,1,98.0,98.0,0.0,98,98,Rookie Scale consensus,,98.0,,,,,,,
kashie natt,Kashie Natt,1,99.0,99.0,0.0,99,99,Rookie Scale consensus,,99.0,,,,,,,
nimari burnett,Nimari Burnett,1,99.0,99.0,0.0,99,99,CBS prospect rankings,,,99.0,,,,,,
