norm_name,prospect,comp_rank,distance,comp_player,comp_draft_year,comp_pick,comp_outcome_mpg,comp_outcome_tier
ryan conwell,Ryan Conwell,5,1.7819877956004835,James Anderson,2010,20.0,17.5,rotation
ugonna onyenso,Ugonna Onyenso,1,2.9476880770273786,Cole Aldrich,2010,11.0,10.0,bench
ugonna onyenso,Ugonna Onyenso,2,3.0755765819788743,Jeff Withey,2013,39.0,10.1,bench
ugonna onyenso,Ugonna Onyenso,3,3.2521825058044582,Willie Cauley-Stein,2015,6.0,22.0,rotation
ugonna onyenso,Ugonna Onyenso,4,3.3911110842686245,Hasheem Thabeet,2009,2.0,10.5,bench
ugonna onyenso,Ugonna Onyenso,5,3.419332041237749,Gorgui Dieng,2013,21.0,20.1,rotation
jaden bradley,Jaden Bradley,1,1.6100040867083263,Jerian Grant,2015,19.0,17.9,rotation
jaden bradley,Jaden Bradley,2,1.9173727890134733,Joe Harris,2014,33.0,24.4,starter
jaden bradley,Jaden Bradley,3,2.0977933018485784,Michael Gbinije,2016,49.0,3.5,bust
jaden bradley,Jaden Bradley,4,2.1271044208611523,Nigel Williams-Goss,2017,55.0,5.0,bust
jaden bradley,Jaden Bradley,5,2.130623283493477,Grayson Allen,2018,21.0,24.7,starter
trevon brazile,Trevon Brazile,1,2.292372461016096,Gorgui Dieng,2013,21.0,20.1,rotation
trevon brazile,Trevon Brazile,2,2.4987545025551405,Wesley Johnson,2010,4.0,22.1,rotation
trevon brazile,Trevon Brazile,3,2.530260256697383,Quincy Acy,2012,37.0,16.0,rotation
trevon brazile,Trevon Brazile,4,2.571863269182633,Willie Cauley-Stein,2015,6.0,22.0,rotation
trevon brazile,Trevon Brazile,5,2.611181790138547,Robert Dozier,2009,60.0,0.0,bust
baba miller,Baba Miller,1,2.4352773099033387,Jabari Smith,2000,45.0,9.8,bench
baba miller,Baba Miller,2,2.4727981551266582,Vince Edwards,2018,52.0,7.9,bust
baba miller,Baba Miller,3,2.5676218326201865,Jarron Collins,2001,53.0,15.8,rotation
baba miller,Baba Miller,4,2.5692032032379326,Aaron Gray,2007,49.0,12.1,bench
baba miller,Baba Miller,5,2.6048409421288707,Earl Clark,2009,14.0,13.9,bench
jack kayil,Jack Kayil,1,1.057423073113014,DeAaron Fox,2017,5.0,32.6,star
jack kayil,Jack Kayil,2,1.8532842656908985,Coby White,2019,7.0,28.2,starter
jack kayil,Jack Kayil,3,1.9045163559650025,Dennis Smith Jr,2017,9.0,23.8,rotation
jack kayil,Jack Kayil,4,1.9477220029640214,Elfrid Payton,2014,10.0,26.8,starter
jack kayil,Jack Kayil,5,1.9520931762790619,Tre Jones,2020,41.0,20.6,rotation
otega oweh,Otega Oweh,1,1.6638756938789145,Dominique Jones,2010,25.0,9.3,bench
otega oweh,Otega Oweh,2,1.8590341192203366,Gerald Henderson,2009,12.0,25.9,starter
otega oweh,Otega Oweh,3,2.0272990703072247,Norman Powell,2015,46.0,23.1,rotation
otega oweh,Otega Oweh,4,2.103018967508784,Dwayne Bacon,2017,40.0,19.4,rotation
otega oweh,Otega Oweh,5,2.1055092111336813,Jordan Crawford,2010,27.0,24.4,starter
nick martinelli,Nick Martinelli,1,1.5165923282951825,Alec Peters,2017,54.0,11.2,bench
nick martinelli,Nick Martinelli,2,1.604218341741091,Georges Niang,2016,50.0,16.2,rotation
nick martinelli,Nick Martinelli,3,1.7366504482372667,Deshaun Thomas,2013,58.0,0.0,bust
nick martinelli,Nick Martinelli,4,1.8011318021981557,Jordan Nwora,2020,45.0,16.4,rotation
nick martinelli,Nick Martinelli,5,1.863053294556709,James Anderson,2010,20.0,17.5,rotation
ja kobi gillespie,Ja'Kobi Gillespie,1,1.3990713506852301,Malachi Flynn,2020,29.0,14.6,bench
ja kobi gillespie,Ja'Kobi Gillespie,2,2.0715419881149595,Payton Pritchard,2020,26.0,16.8,rotation
ja kobi gillespie,Ja'Kobi Gillespie,3,2.1132140666080437,Jevon Carter,2018,32.0,16.0,rotation
ja kobi gillespie,Ja'Kobi Gillespie,4,2.154606257169859,Roy Devyn,2014,56.0,10.4,bench
ja kobi gillespie,Ja'Kobi Gillespie,5,2.1618084758015774,Jared Butler,2021,40.0,8.7,bench
emanuel sharp,Emanuel Sharp,1,1.8167113814218079,Marcus Denmon,2012,59.0,0.0,bust
emanuel sharp,Emanuel Sharp,2,2.3054179773765564,Joe Harris,2014,33.0,24.4,starter
emanuel sharp,Emanuel Sharp,3,2.447646629312319,Xavier Thames,2014,59.0,0.0,bust
emanuel sharp,Emanuel Sharp,4,2.4512651424113727,Nick Johnson,2014,42.0,9.4,bench
emanuel sharp,Emanuel Sharp,5,2.457488986308886,Luke Kennard,2017,12.0,23.3,rotation
izaiyah nelson,Izaiyah Nelson,1,2.130142740117475,Kenneth Faried,2011,22.0,24.5,starter
izaiyah nelson,Izaiyah Nelson,2,2.18327041435376,Tyler Bey,2020,36.0,3.9,bust
izaiyah nelson,Izaiyah Nelson,3,2.1900146397038855,Damion James,2010,24.0,16.0,rotation
izaiyah nelson,Izaiyah Nelson,4,2.272734375078,Wesley Johnson,2010,4.0,22.1,rotation
izaiyah nelson,Izaiyah Nelson,5,2.4661419573939236,Danny Granger,2005,17.0,31.5,star
bruce thornton,Bruce Thornton,1,2.523021589068062,Frank Mason,2017,34.0,15.7,rotation
bruce thornton,Bruce Thornton,2,2.8308716594127064,Derrick White,2017,29.0,27.1,starter
bruce thornton,Bruce Thornton,3,2.895522216816906,Marcus Denmon,2012,59.0,0.0,bust
bruce thornton,Bruce Thornton,4,2.9424681750621913,Charles Jenkins,2011,44.0,12.1,bench
bruce thornton,Bruce Thornton,5,3.0273295551572335,John Jenkins,2012,23.0,12.8,bench
milos uzan,Milos Uzan,1,1.9165898235007548,Isaiah Cousins,2016,59.0,0.0,bust
milos uzan,Milos Uzan,2,2.147252435162839,Marcus Paige,2016,55.0,5.6,bust
milos uzan,Milos Uzan,3,2.917445867621673,Demetrius Jackson,2016,45.0,5.2,bust
milos uzan,Milos Uzan,4,3.0087247572781766,Lorenzo Brown,2013,52.0,11.5,bench
milos uzan,Milos Uzan,5,3.072747848726314,Joe Harris,2014,33.0,24.4,starter
tyler nickel,Tyler Nickel,1,1.527862824730533,Darius Miller,2012,46.0,19.8,rotation
tyler nickel,Tyler Nickel,2,1.678502936516284,Jake Layman,2016,47.0,12.8,bench
tyler nickel,Tyler Nickel,3,1.7054119398122614,Pat Connaughton,2015,41.0,19.3,rotation
tyler nickel,Tyler Nickel,4,1.8984814397837206,Solomon Hill,2013,23.0,21.5,rotation
tyler nickel,Tyler Nickel,5,2.034903145344827,Justinian Jessup,2020,51.0,0.0,bust
braden smith,Braden Smith,1,2.279974871616615,Monte Morris,2017,51.0,25.6,starter
braden smith,Braden Smith,2,2.962832026463041,Tyler Ulis,2016,34.0,20.9,rotation
braden smith,Braden Smith,3,3.018295004696889,Peyton Siva,2013,56.0,9.3,bench
braden smith,Braden Smith,4,3.0492597638066634,Darren Collison,2009,21.0,29.3,starter
braden smith,Braden Smith,5,3.101775581042301,Eric Maynor,2009,20.0,14.6,bench
maliq brown,Maliq Brown,1,2.4109032540588817,Arsalan Kazemi,2013,54.0,0.0,bust
maliq brown,Maliq Brown,2,3.8500140185538947,Chuma Okeke,2019,16.0,22.2,rotation
maliq brown,Maliq Brown,3,3.9190439378908826,Matisse Thybulle,2019,20.0,20.8,rotation
