source,rank,name,norm_name
The Ringer big board,20,Joshua Jefferson,joshua jefferson
The Ringer big board,21,Hannes Steinbach,hannes steinbach
The Ringer big board,22,Ebuka Okorie,ebuka okorie
The Ringer big board,23,Morez Johnson,morez johnson
The Ringer big board,24,Isaiah Evans,isaiah evans
The Ringer big board,25,Meleek Thomas,meleek thomas
The Ringer big board,26,Koa Peat,koa peat
The Ringer big board,27,Karim Lopez,karim lopez
The Ringer big board,28,Christian Anderson,christian anderson
The Ringer big board,29,Luigi Suigo,luigi suigo
The Ringer big board,30,Tarris Reed Jr.,tarris reed
NBA Draft Room big board,1,AJ Dybantsa,aj dybantsa
NBA Draft Room big board,2,Darryn Peterson,darryn peterson
NBA Draft Room big board,3,Caleb Wilson,caleb wilson
NBA Draft Room big board,4,Cameron Boozer,cameron boozer
NBA Draft Room big board,5,Kingston Flemings,kingston flemings
NBA Draft Room big board,6,Darius Acuff Jr.,darius acuff
NBA Draft Room big board,7,Mikel Brown Jr.,mikel brown
NBA Draft Room big board,8,Keaton Wagler,keaton wagler
NBA Draft Room big board,9,Brayden Burries,brayden burries
NBA Draft Room big board,10,Hannes Steinbach,hannes steinbach
NBA Draft Room big board,11,Aday Mara,aday mara
NBA Draft Room big board,12,Labaron Philon,labaron philon
NBA Draft Room big board,13,Karim Lopez,karim lopez
NBA Draft Room big board,14,Morez Johnson Jr.,morez johnson
NBA Draft Room big board,15,Chris Cenac Jr.,chris cenac
NBA Draft Room big board,16,Cameron Carr,cameron carr
NBA Draft Room big board,17,Nate Ament,nate ament
NBA Draft Room big board,18,Allen Graves,allen graves
NBA Draft Room big board,19,Dailyn Swain,dailyn swain
NBA Draft Room big board,20,Tarris Reed Jr.,tarris reed
NBA Draft Room big board,21,Ebuka Okorie,ebuka okorie
NBA Draft Room big board,22,Henri Veesaar,henri veesaar
NBA Draft Room big board,23,Bennett Stirtz,bennett stirtz
NBA Draft Room big board,24,Luigi Suigo,luigi suigo
NBA Draft Room big board,25,Koa Peat,koa peat
NBA Draft Room big board,26,Meleek Thomas,meleek thomas
NBA Draft Room big board,27,Christian Anderson,christian anderson
NBA Draft Room big board,28,Jayden Quaintance,jayden quaintance
NBA Draft Room big board,29,Zuby Ejiofor,zuby ejiofor
NBA Draft Room big board,30,Pavle Bačko,pavle backo
NBA Draft Room big board,31,Jaden Bradley,jaden bradley
NBA Draft Room big board,32,Joshua Jefferson,joshua jefferson
NBA Draft Room big board,33,Isaiah Evans,isaiah evans
NBA Draft Room big board,34,Alex Karaban,alex karaban
NBA Draft Room big board,35,Trevon Brazile,trevon brazile
NBA Draft Room big board,36,Ryan Conwell,ryan conwell
NBA Draft Room big board,37,Jack Kayil,jack kayil
NBA Draft Room big board,38,Keyshawn Hall,keyshawn hall
NBA Draft Room big board,39,Baba Miller,baba miller
NBA Draft Room big board,40,Ja’kobi Gillespie,jakobi gillespie
NBA Draft Room big board,41,Dillon Mitchell –,dillon mitchell
NBA Draft Room big board,42,Tyler Bilodeau,tyler bilodeau
NBA Draft Room big board,43,Quadir Copeland,quadir copeland
NBA Draft Room big board,44,Otega Oweh,otega oweh
NBA Draft Room big board,45,Fletcher Loyer,fletcher loyer
NBA Draft Room big board,46,Aaron Nkrumah,aaron nkrumah
NBA Draft Room big board,47,Trey Kaufman-Renn,trey kaufman renn
NBA Draft Room big board,48,Richie Saunders,richie saunders
NBA Draft Room big board,49,Braden Smith,braden smith
NBA Draft Room big board,50,Nick Martinelli,nick martinelli
NBA Draft Room big board,51,Lamar Wilkerson,lamar wilkerson
NBA Draft Room big board,52,Melvin Council Jr. –,melvin council
NBA Draft Room big board,53,Sergio de Larrea,sergio de larrea
NBA Draft Room big board,54,Tobi Lawal,tobi lawal
NBA Draft Room big board,55,Izaiyah Nelson,izaiyah nelson
NBA Draft Room big board,56,Emanuel Sharpe,emanuel sharpe
NBA Draft Room big board,57,Felix Okpara,felix okpara
NBA Draft Room big board,58,Bruce Thornton,bruce thornton
NBA Draft Room big board,59,Bryce Hopkins,bryce hopkins
NBA Draft Room big board,60,Seth Trimble,seth trimble
NBA Draft Room big board,61,Tyler Nickel,tyler nickel
NBA Draft Room big board,62,Ugonna Onyenso,ugonna onyenso
NBA Draft Room big board,63,Milos Uzan,milos uzan
NBA Draft Room big board,64,Jaxon Kohler,jaxon kohler
NBA Draft Room big board,65,Malik Reneau –,malik reneau
NBA Draft Room big board,66,Nick Boyd –,nick boyd
